"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"20:38:31.9788133","3uTools.exe","2396","Process Start","","SUCCESS","Parent PID: 768, Command line: ""C:\Program Files\3uToolsV3\x86\3uTools.exe"" , Current directory: C:\Program Files\3uToolsV3\x86\, Environment: ;	ALLUSERSPROFILE=C:\Documents and Settings\All Users;	APPDATA=C:\Documents and Settings\HP Authored Customer\Application Data;	asl.log=Destination=file;	CLASSPATH=.;C:\Program Files\Java\jre1.8.0_66\lib\ext\QTJava.zip;	CLIENTNAME=Console;	CommonProgramFiles=C:\Program Files\Common Files;	COMPUTERNAME=HPAAV;	ComSpec=C:\WINDOWS\system32\cmd.exe;	devmgr_show_details=1;	devmgr_show_nonpresent_devices=1;	FP_NO_HOST_CHECK=NO;	HOMEDRIVE=C:;	HOMEPATH=\Documents and Settings\HP Authored Customer;	LOGONSERVER=\\HPAAV;	NUMBER_OF_PROCESSORS=4;	OS=Windows_NT;	Path=C:\Program Files\Cuminas\Document Express DjVu Plug-in\;C:\Documents and Settings\All Users\Application Data\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\Program Files\QuickTime\QTSystem\;C:\Program Files\Intuwave\Shared\mRouterRuntime;C:\Program Files\GnuWin32\bin\;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.PY;	PROCESSOR_ARCHITECTURE=x86;	PROCESSOR_IDENTIFIER=x86 Family 6 Model 37 Stepping 5, GenuineIntel;	PROCESSOR_LEVEL=6;	PROCESSOR_REVISION=2505;	ProgramFiles=C:\Program Files;	PSModulePath=C:\Program Files\AutoIt3\AutoItX;	QTJAVA=C:\Program Files\Java\jre1.8.0_66\lib\ext\QTJava.zip;	SESSIONNAME=Console;	SystemDrive=C:;	SystemRoot=C:\WINDOWS;	TEMP=C:\DOCUME~1\HPAUTH~1\LOCALS~1\Temp;	TMP=C:\DOCUME~1\HPAUTH~1\LOCALS~1\Temp;	USERDOMAIN=HPAAV;	USERNAME=HP Authored Customer;	USERPROFILE=C:\Documents and Settings\HP Authored Customer;	windir=C:\WINDOWS"
"20:38:31.9788194","3uTools.exe","2396","Thread Create","","SUCCESS","Thread ID: 3784"
"20:38:31.9849104","3uTools.exe","2396","QueryNameInformationFile","C:\Program Files\3uToolsV3\x86\3uTools.exe","SUCCESS","Name: \Program Files\3uToolsV3\x86\3uTools.exe"
"20:38:31.9852582","3uTools.exe","2396","Load Image","C:\Program Files\3uToolsV3\x86\3uTools.exe","SUCCESS","Image Base: 0x400000, Image Size: 0xcf6000"
"20:38:31.9854890","3uTools.exe","2396","Load Image","C:\WINDOWS\system32\ntdll.dll","SUCCESS","Image Base: 0x7c900000, Image Size: 0xb2000"
"20:38:31.9855133","3uTools.exe","2396","QueryNameInformationFile","C:\Program Files\3uToolsV3\x86\3uTools.exe","SUCCESS","Name: \Program Files\3uToolsV3\x86\3uTools.exe"
"20:38:31.9858474","3uTools.exe","2396","CreateFile","C:\WINDOWS\Prefetch\3UTOOLS.EXE-00ECFA4B.pf","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a"
"20:38:31.9859617","3uTools.exe","2396","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\3uTools.exe","NAME NOT FOUND","Desired Access: Read"
"20:38:31.9863274","3uTools.exe","2396","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Read"
"20:38:31.9886682","3uTools.exe","2396","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\CWDIllegalInDLLSearch","NAME NOT FOUND","Length: 1 024"
"20:38:31.9887179","3uTools.exe","2396","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"20:38:31.9890319","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"20:38:31.9893683","3uTools.exe","2396","Load Image","C:\WINDOWS\system32\kernel32.dll","SUCCESS","Image Base: 0x7c800000, Image Size: 0xf6000"
"20:38:31.9898239","3uTools.exe","2396","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","Desired Access: Read"
"20:38:31.9898694","3uTools.exe","2396","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSAppCompat","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"20:38:31.9899041","3uTools.exe","2396","RegCloseKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS",""
"20:38:31.9899225","3uTools.exe","2396","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\3uTools.exe","NAME NOT FOUND","Desired Access: Read"
"20:38:31.9902907","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\3uTools.exe","SUCCESS","Offset: 13 372 416, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0142016","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\3uTools.exe","SUCCESS","Offset: 13 405 184, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0159906","3uTools.exe","2396","FileSystemControl","C:\Program Files\3uToolsV3\x86","SUCCESS","Control: FSCTL_IS_VOLUME_MOUNTED"
"20:38:32.0161834","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","CreationTime: 2026.06.05 20:54:01, LastAccessTime: 2026.06.07 20:52:27, LastWriteTime: 2023.07.15 20:46:10, ChangeTime: 2026.06.05 20:54:01, AllocationSize: 282 624, EndOfFile: 280 640, FileAttributes: A"
"20:38:32.0164538","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","CreationTime: 2026.06.05 20:54:01, LastAccessTime: 2026.06.07 20:52:27, LastWriteTime: 2023.07.15 20:46:10, ChangeTime: 2026.06.05 20:54:01, AllocationSize: 282 624, EndOfFile: 280 640, FileAttributes: A"
"20:38:32.0166212","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:38:32.0167368","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"20:38:32.0167717","3uTools.exe","2396","QueryStandardInformationFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","AllocationSize: 282 624, EndOfFile: 280 640, NumberOfLinks: 1, DeletePending: False, Directory: False"
"20:38:32.0168142","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.0169195","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","Offset: 0, Length: 4 096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0465537","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.0465956","3uTools.exe","2396","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"20:38:32.0466191","3uTools.exe","2396","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"20:38:32.0466443","3uTools.exe","2396","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers\TransparentEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"20:38:32.0466663","3uTools.exe","2396","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS",""
"20:38:32.0466845","3uTools.exe","2396","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"20:38:32.0467823","3uTools.exe","2396","CloseFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS",""
"20:38:32.0470253","3uTools.exe","2396","Load Image","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","Image Base: 0x66000000, Image Size: 0x42000"
"20:38:32.0470541","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","Offset: 165 376, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0484096","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","Offset: 243 200, Length: 1 536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0489130","3uTools.exe","2396","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed"
"20:38:32.0489524","3uTools.exe","2396","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"20:38:32.0489739","3uTools.exe","2396","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"20:38:32.0490021","3uTools.exe","2396","RegQueryValue","HKCU\Control Panel\Desktop\MultiUILanguageId","NAME NOT FOUND","Length: 256"
"20:38:32.0490384","3uTools.exe","2396","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
"20:38:32.0490596","3uTools.exe","2396","RegCloseKey","HKCU","SUCCESS",""
"20:38:32.0492122","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll.2.Manifest","NAME NOT FOUND","Desired Access: Generic Read/Execute, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"20:38:32.0492683","3uTools.exe","2396","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed"
"20:38:32.0492974","3uTools.exe","2396","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"20:38:32.0493153","3uTools.exe","2396","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"20:38:32.0493762","3uTools.exe","2396","RegQueryValue","HKCU\Control Panel\Desktop\MultiUILanguageId","NAME NOT FOUND","Length: 256"
"20:38:32.0494027","3uTools.exe","2396","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
"20:38:32.0494220","3uTools.exe","2396","RegCloseKey","HKCU","SUCCESS",""
"20:38:32.0495675","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll.2.Config","NAME NOT FOUND","Desired Access: Generic Read/Execute, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"20:38:32.0500620","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","Offset: 202 240, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0506551","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Svg.dll","SUCCESS","Offset: 153 088, Length: 12 288, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0513951","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","CreationTime: 2026.06.07 19:05:56, LastAccessTime: 2026.06.07 20:52:27, LastWriteTime: 2026.06.07 19:08:30, ChangeTime: 2026.06.07 19:08:30, AllocationSize: 4 620 288, EndOfFile: 4 617 728, FileAttributes: A"
"20:38:32.0515823","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","CreationTime: 2026.06.07 19:05:56, LastAccessTime: 2026.06.07 20:52:27, LastWriteTime: 2026.06.07 19:08:30, ChangeTime: 2026.06.07 19:08:30, AllocationSize: 4 620 288, EndOfFile: 4 617 728, FileAttributes: A"
"20:38:32.0517091","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:38:32.0518231","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"20:38:32.0518396","3uTools.exe","2396","QueryStandardInformationFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","AllocationSize: 4 620 288, EndOfFile: 4 617 728, NumberOfLinks: 1, DeletePending: False, Directory: False"
"20:38:32.0518558","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.0518812","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","Offset: 0, Length: 4 096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0759133","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.0760220","3uTools.exe","2396","CloseFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS",""
"20:38:32.0762159","3uTools.exe","2396","Load Image","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","Image Base: 0x65000000, Image Size: 0x465000"
"20:38:32.0762391","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","Offset: 3 348 480, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0862029","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","Offset: 4 253 184, Length: 1 536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.0989517","3uTools.exe","2396","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed"
"20:38:32.0990029","3uTools.exe","2396","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"20:38:32.0990316","3uTools.exe","2396","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"20:38:32.0990705","3uTools.exe","2396","RegQueryValue","HKCU\Control Panel\Desktop\MultiUILanguageId","NAME NOT FOUND","Length: 256"
"20:38:32.0991099","3uTools.exe","2396","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
"20:38:32.0991356","3uTools.exe","2396","RegCloseKey","HKCU","SUCCESS",""
"20:38:32.0993577","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll.2.Manifest","NAME NOT FOUND","Desired Access: Generic Read/Execute, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"20:38:32.0996689","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll.2.Config","NAME NOT FOUND","Desired Access: Generic Read/Execute, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"20:38:32.1003030","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","Offset: 4 454 400, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.1180519","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Widgets.dll","SUCCESS","Offset: 4 474 880, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.1391141","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","CreationTime: 2026.06.05 20:54:01, LastAccessTime: 2026.06.07 20:55:16, LastWriteTime: 2023.07.15 20:45:48, ChangeTime: 2026.06.07 20:55:22, AllocationSize: 5 677 056, EndOfFile: 5 675 072, FileAttributes: A"
"20:38:32.1393261","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","CreationTime: 2026.06.05 20:54:01, LastAccessTime: 2026.06.07 20:55:16, LastWriteTime: 2023.07.15 20:45:48, ChangeTime: 2026.06.07 20:55:22, AllocationSize: 5 677 056, EndOfFile: 5 675 072, FileAttributes: A"
"20:38:32.1394759","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:38:32.1395860","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"20:38:32.1395974","3uTools.exe","2396","QueryStandardInformationFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","AllocationSize: 5 677 056, EndOfFile: 5 675 072, NumberOfLinks: 1, DeletePending: False, Directory: False"
"20:38:32.1396086","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.1396276","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","Offset: 0, Length: 4 096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.1571100","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.1572153","3uTools.exe","2396","CloseFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS",""
"20:38:32.1574039","3uTools.exe","2396","Load Image","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","Image Base: 0x10000000, Image Size: 0x56d000"
"20:38:32.1574307","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","Offset: 3 700 224, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.1623685","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","Offset: 5 516 800, Length: 1 536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.1895912","3uTools.exe","2396","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed"
"20:38:32.1898256","3uTools.exe","2396","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"20:38:32.1898463","3uTools.exe","2396","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"20:38:32.1898734","3uTools.exe","2396","RegQueryValue","HKCU\Control Panel\Desktop\MultiUILanguageId","NAME NOT FOUND","Length: 256"
"20:38:32.1899046","3uTools.exe","2396","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
"20:38:32.1899284","3uTools.exe","2396","RegCloseKey","HKCU","SUCCESS",""
"20:38:32.1901130","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll.2.Manifest","NAME NOT FOUND","Desired Access: Generic Read/Execute, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"20:38:32.1902826","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll.2.Config","NAME NOT FOUND","Desired Access: Generic Read/Execute, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"20:38:32.1910017","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","Offset: 5 367 296, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.1954302","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","Offset: 3 376 640, Length: 16 384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.1998833","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","CreationTime: 2026.06.02 21:54:46, LastAccessTime: 2026.06.07 21:52:21, LastWriteTime: 2026.06.07 20:51:44, ChangeTime: 2026.06.07 20:51:44, AllocationSize: 16 384, EndOfFile: 13 312, FileAttributes: A"
"20:38:32.2000509","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","CreationTime: 2026.06.02 21:54:46, LastAccessTime: 2026.06.07 21:52:21, LastWriteTime: 2026.06.07 20:51:44, ChangeTime: 2026.06.07 20:51:44, AllocationSize: 16 384, EndOfFile: 13 312, FileAttributes: A"
"20:38:32.2001573","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:38:32.2002708","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
